,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
59105,551 - MEDICAL BACK PROBLEMS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,14,114681.93,21402.14,12120.07
59106,552 - MEDICAL BACK PROBLEMS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,75,51119.29,9957.81,5615.75
59107,554 - BONE DISEASES & ARTHROPATHIES W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,15,41855.07,6638.13,5302.93
59108,556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,11,54289.45,6558.27,5112.73
59109,"558 - TENDONITIS, MYOSITIS & BURSITIS W/O MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,22,49468.32,8305.95,5711.64
59110,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,30,50276.97,6844.6,5288.93
59111,"581 - OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,15,49426.67,9768.07,6165.0
59112,602 - CELLULITIS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,39,72121.59,12520.87,10971.72
59113,603 - CELLULITIS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,159,46975.7,7794.69,6063.05
59114,"605 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,13,43382.46,15511.15,4139.15
59115,"617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,13,108002.77,15810.15,14279.77
59116,620 - O.R. PROCEDURES FOR OBESITY W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,15,62441.2,16333.13,13657.2
59117,621 - O.R. PROCEDURES FOR OBESITY W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,66,49282.94,13104.71,11679.61
59118,637 - DIABETES W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,19,62323.21,11759.37,10266.58
59119,638 - DIABETES W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,38,47296.03,7585.87,5675.97
59120,639 - DIABETES W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,14,30091.14,5310.21,3986.36
59121,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,76,76295.7,10989.34,9225.74
59122,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,96,38129.26,6391.97,5025.28
59123,643 - ENDOCRINE DISORDERS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,12,81486.5,14281.75,12771.83
59124,644 - ENDOCRINE DISORDERS W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,17,72860.47,9629.47,8171.76
59125,657 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,17,73884.65,17509.71,14534.24
59126,658 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,29,64341.52,13023.83,10818.45
59127,660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,12,90683.58,16042.17,14430.5
59128,669 - TRANSURETHRAL PROCEDURES W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,26,60919.5,10905.38,9629.35
59129,673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,34,152506.65,27334.88,25120.12
59130,674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,25,134782.52,19977.36,18296.72
59131,682 - RENAL FAILURE W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,162,96523.2,14694.1,12284.93
59132,683 - RENAL FAILURE W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,174,55734.57,8787.72,7352.02
59133,684 - RENAL FAILURE W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,22,35791.41,5762.05,4454.73
59134,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,120,90665.73,14349.34,11893.07
59135,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,168,44271.17,7045.07,5595.48
59136,694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,15,40635.0,6527.47,4593.33
59137,696 - KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,16,28590.0,6052.81,4994.0
59138,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,74,81748.42,13876.0,12641.91
59139,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,36,59373.03,9032.67,7355.81
59140,708 - MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,22,52850.55,12151.82,8156.95
59141,808 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,18,180768.94,25526.0,22962.39
59142,809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,46,62332.33,11070.91,9418.89
59143,811 - RED BLOOD CELL DISORDERS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,20,69719.75,10941.75,9441.45
59144,812 - RED BLOOD CELL DISORDERS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,107,56395.16,7408.16,5963.95
59145,813 - COAGULATION DISORDERS,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,13,62763.77,13899.0,12648.85
59146,834 - ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,29,322954.24,55399.83,48684.48
59147,837 - CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,18,126048.22,48746.33,46904.56
59148,838 - CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,12,68871.25,23203.5,21913.25
59149,839 - CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,16,35283.5,11280.38,10729.31
59150,840 - LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,26,170591.58,30079.54,25865.04
59151,841 - LYMPHOMA & NON-ACUTE LEUKEMIA W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,24,93999.83,13968.5,12750.71
59152,842 - LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,16,58652.88,9259.81,7957.13
59153,846 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,52,54829.81,20240.81,18195.48
59154,847 - CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,150,46942.49,10121.4,8409.4
59155,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,85,237629.94,45654.22,42362.36
59156,854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,17,119583.41,19391.12,17842.35
59157,857 - POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,11,86716.82,16048.0,14910.55
59158,862 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,21,73902.29,14840.67,13757.52
59159,863 - POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,27,48852.81,9111.48,7230.19
59160,864 - FEVER,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,21,39867.24,7504.29,6435.48
59161,866 - VIRAL ILLNESS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,16,58028.38,7218.19,6031.25
59162,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,44,280011.57,48547.41,44720.93
59163,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,459,97067.27,16391.57,14449.63
59164,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,119,58124.23,9510.13,7992.74
59165,884 - ORGANIC DISTURBANCES & MENTAL RETARDATION,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,27,51522.85,8791.33,7299.85
59166,885 - PSYCHOSES,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,21,46698.43,9067.05,7784.1
59167,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,25,38040.16,6337.6,5142.84
59168,907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,14,255444.79,39099.0,33634.79
59169,908 - OTHER O.R. PROCEDURES FOR INJURIES W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,14,81421.5,16332.29,15228.36
59170,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,20,53927.95,11829.65,9838.1
59171,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,15,32186.53,5744.4,4591.47
59172,919 - COMPLICATIONS OF TREATMENT W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,36,131492.11,19044.72,16746.81
59173,920 - COMPLICATIONS OF TREATMENT W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,20,66395.75,10280.75,8518.75
59174,948 - SIGNS & SYMPTOMS W/O MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,28,45957.07,6876.82,4889.21
59175,"956 - LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA",310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,14,117892.57,43339.36,22867.57
59176,981 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,40,249599.25,44814.3,41798.88
59177,982 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,26,134971.15,23568.73,21622.81
59178,987 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,16,213540.38,33479.75,30793.0
59179,988 - NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,NJ - Hackensack,11,79960.27,13962.27,12447.64
59180,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,13,39280.46,8378.08,7051.38
59181,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,37,71841.49,13970.59,11952.62
59182,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,60,52131.57,9107.72,7071.83
59183,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,25,43588.92,6506.4,4377.24
59184,069 - TRANSIENT ISCHEMIA,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,28,30749.14,5884.68,4405.11
59185,"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,17,45329.47,9377.0,7349.12
59186,101 - SEIZURES W/O MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,21,41315.86,6690.52,4909.0
59187,149 - DYSEQUILIBRIUM,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,12,33494.0,5370.5,3523.0
59188,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,18,63369.0,15246.56,13379.83
59189,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,43,59623.07,10747.84,8963.02
59190,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,72,49161.07,9990.31,8162.39
59191,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,50,48439.68,8353.78,5726.44
59192,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,36,40586.47,6371.67,4155.67
59193,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,42,63380.52,12569.5,10247.38
59194,194 - SIMPLE PNEUMONIA & PLEURISY W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,75,42307.6,8480.71,6466.29
59195,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,26,32255.08,6208.85,4119.31
59196,202 - BRONCHITIS & ASTHMA W CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,21,45193.1,7810.9,5342.29
59197,203 - BRONCHITIS & ASTHMA W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,13,35165.77,5664.54,3775.08
59198,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,22,232510.23,44090.05,37051.64
59199,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,27,100030.7,18961.89,16644.56
59200,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,15,87629.2,26629.73,24403.8
59201,242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,12,101282.33,30074.58,27407.92
59202,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,16,78347.13,21317.0,19246.19
59203,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,15,90619.2,16428.33,14463.53
59204,252 - OTHER VASCULAR PROCEDURES W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,13,91003.08,25307.62,22978.46
59205,253 - OTHER VASCULAR PROCEDURES W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,21,94334.67,21009.24,18396.24
59206,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,47,81361.79,14703.83,12104.72
59207,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,32,59958.31,10867.72,7487.56
59208,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,18,43550.61,6473.39,4484.17
59209,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,12,79477.17,16835.67,12689.92
59210,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,32,61950.63,9172.25,7394.0
59211,291 - HEART FAILURE & SHOCK W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,89,55008.24,12504.35,10650.89
59212,292 - HEART FAILURE & SHOCK W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,124,42926.22,8641.62,6716.3
59213,293 - HEART FAILURE & SHOCK W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,24,30944.0,5834.08,4184.0
59214,300 - PERIPHERAL VASCULAR DISORDERS W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,15,32080.67,7975.0,5865.8
59215,303 - ATHEROSCLEROSIS W/O MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,12,31460.08,5458.42,3768.42
59216,305 - HYPERTENSION W/O MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,16,27274.13,5285.94,3667.5
59217,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,28,56851.36,10596.57,8328.04
59218,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,42,35973.19,6852.64,5002.05
59219,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,34,26330.65,4788.65,3102.0
59220,312 - SYNCOPE & COLLAPSE,310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,NJ - Newark,57,33496.68,6184.74,4502.44
